est	obs	kind
41.2860507965	36	est/obs
40.9357995987	42	est/obs
11.7338666916	30	est/obs
226.806993484	135	est/obs
11.1424255371	33	est/obs
76.139134407	43	est/obs
50.1164875031	48	est/obs
151.768060684	88	est/obs
16.542391777	39	est/obs
59.3022356033	67	est/obs
51.5116643906	54	est/obs
12.2123823166	34	est/obs
45.2748212814	43	est/obs
57.0497198105	46	est/obs
217.80063343	221	est/obs
31.1219110489	32	est/obs
29.9953889847	31	est/obs
27.5316953659	32	est/obs
15.1690006256	38	est/obs
25.9851636887	30	est/obs
234.225440025	200	est/obs
158.513827324	190	est/obs
34.3714351654	36	est/obs
61.4441099167	61	est/obs
68.2304096222	84	est/obs
16.0925245285	35	est/obs
3.6115322113	37	est/obs
14.661450386	34	est/obs
59.3444137573	31	est/obs
68.2998762131	61	est/obs
76.5293111801	39	est/obs
35.2236680984	37	est/obs
41.2307567596	42	est/obs
49.8656330109	50	est/obs
49.1976566315	78	est/obs
35.9710741043	44	est/obs
150.706445694	41	est/obs
23.302280426	33	est/obs
37.5603103638	30	est/obs
163.54611969	86	est/obs
30.8233690262	31	est/obs
43.6435747147	39	est/obs
66.7218742371	50	est/obs
41.6863088608	32	est/obs
211.535516739	187	est/obs
189.07228756	161	est/obs
84.0010614395	60	est/obs
113.655056	97	est/obs
39.5009365082	39	est/obs
140.601565361	133	est/obs
123.338596344	103	est/obs
163.934653282	112	est/obs
85.9560155869	58	est/obs
125.970193863	92	est/obs
279.983602524	237	est/obs
224.464047432	204	est/obs
37.8953037262	32	est/obs
36.4661235809	37	est/obs
221.080841064	197	est/obs
143.042380333	153	est/obs
72.1177206039	77	est/obs
102.53072834	30	est/obs
5.33504295349	37	est/obs
15.2773475647	31	est/obs
8.34353065491	35	est/obs
88.1621284485	49	est/obs
97.4339332581	42	est/obs
163.06465435	76	est/obs
163.274831772	174	est/obs
209.591646194	163	est/obs
122.416675568	97	est/obs
79.4596138	98	est/obs
52.0535087585	47	est/obs
9.60458850861	36	est/obs
5.02779579163	30	est/obs
44.2132129669	38	est/obs
9.8338508606	30	est/obs
74.2724275589	59	est/obs
35.8606853485	32	est/obs
31.4896631241	33	est/obs
27.2245883942	31	est/obs
72.045882225	41	est/obs
55.421869278	44	est/obs
65.3610172272	81	est/obs
4.08103466034	57	est/obs
30.6097927094	35	est/obs
8.5124206543	31	est/obs
12.5793762207	32	est/obs
18.4275770187	42	est/obs
6.58783435822	35	est/obs
10.4501438141	30	est/obs
18.2329874039	48	est/obs
16.4118776321	39	est/obs
4.39597511292	32	est/obs
61.0412864685	66	est/obs
140.975661278	117	est/obs
57.7884302139	42	est/obs
34.0578889847	35	est/obs
39.0682897568	30	est/obs
